Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:28:00.838,61,0.0000000000,0.0000000000,0.0437415950,0.0000000000,0.0000000000,0.0069279843,0.0292148646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0069282036,0.0291987471,0.0017235025,0.0036839251,0.0000000000,0.0045152814,0.0049095880,0.0018891759,0.0048930612,0.0004019161,0.0000000000,0.0000000000,0.0000000000,0.0142264822,0.0054440983,0.0004142722,0.0004796859,0.0028970574,0.0026902726,0.0040111919,0.0013861534,0.0015931425,0.0000000000,0.0000000000,0.0000000000,0.0026301765,0.0022672294,0.0001571295,0.0001858329,0.0000000000,0.0000000000,0.0062564504,0.0213215835,0.0213772468,0.0000000000,0.0034398597,0.0040017092,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0264985245,-0.0458311215,0.0039713047,0.0263005886,-0.0458222665,0.0010340624
13:45:28:01.839,61,0.0000000000,0.0000000000,0.0463260300,0.0000000000,0.0000000000,0.0070360200,0.0372742526,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0070362487,0.0372664817,0.0018625535,0.0039514201,0.0000000000,0.0045950161,0.0049696965,0.0019090307,0.0049946439,0.0005149925,0.0000000000,0.0000000000,0.0000000000,0.0184963755,0.0085674701,0.0004196336,0.0004783833,0.0030353267,0.0027627728,0.0041338815,0.0014577286,0.0014860027,0.0000000000,0.0000000000,0.0000000000,0.0026827217,0.0023010995,0.0001307297,0.0001580828,0.0000000000,0.0000000000,0.0061839353,0.0216796324,0.0217355918,0.0000000000,0.0034666553,0.0040169391,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0280490573,-0.0450182036,0.0040366966,0.0278508272,-0.0450092964,0.0011508628
13:45:28:02.839,61,0.0000000000,0.0000000000,0.0449189804,0.0000000000,0.0000000000,0.0072107413,0.0403386019,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072109890,0.0403329618,0.0021068901,0.0041533541,0.0000000000,0.0048045167,0.0051592239,0.0020033321,0.0053057130,0.0004999806,0.0000000000,0.0000000000,0.0000000000,0.0290491413,0.0191968177,0.0004283726,0.0004837518,0.0032110400,0.0029048540,0.0043826634,0.0015907810,0.0015038223,0.0000000000,0.0000000000,0.0000000000,0.0027891872,0.0023875940,0.0001187105,0.0001465774,0.0000000000,0.0000000000,0.0061283787,0.0217022225,0.0217569433,0.0000000000,0.0035364411,0.0040805601,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0271772984,-0.0461025387,0.0040165316,0.0270081479,-0.0460937433,0.0010636053
13:45:28:03.839,61,0.0000000000,0.0000000000,0.0435295291,0.0000000000,0.0000000000,0.0073592793,0.0448556691,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0073595666,0.0448513106,0.0022776620,0.0042842631,0.0000000000,0.0049369163,0.0052744499,0.0020785474,0.0056406665,0.0004782173,0.0000000000,0.0000000000,0.0000000000,0.0350243710,0.0261780769,0.0003989620,0.0004474564,0.0033631376,0.0030427265,0.0045030811,0.0016508334,0.0015255740,0.0000000000,0.0000000000,0.0000000000,0.0028358707,0.0024257386,0.0000997753,0.0001259867,0.0000000000,0.0000000000,0.0060352576,0.0216127671,0.0216652602,0.0000000000,0.0035562455,0.0040898379,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0263507701,-0.0462062359,0.0039734766,0.0261739809,-0.0461974442,0.0010136222
13:45:28:04.840,61,0.0000000000,0.0000000000,0.0455572009,0.0000000000,0.0000000000,0.0074885492,0.0503518060,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074888859,0.0503475964,0.0024135346,0.0044508153,0.0000000000,0.0050713927,0.0053862422,0.0021183649,0.0058372365,0.0006575047,0.0000000000,0.0000000000,0.0000000000,0.0369719081,0.0285002887,0.0003967018,0.0004362193,0.0035189132,0.0031609014,0.0046099345,0.0017186019,0.0014656398,0.0000000000,0.0000000000,0.0000000000,0.0028873922,0.0024614627,0.0000793215,0.0001008620,0.0000000000,0.0000000000,0.0059564589,0.0217915531,0.0218418930,0.0000000000,0.0035679324,0.0040879794,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0275741052,-0.0457703620,0.0040297625,0.0273907315,-0.0457615331,0.0010970866
13:45:28:05.842,61,0.0000000000,0.0000000000,0.0463695116,0.0000000000,0.0000000000,0.0075958371,0.0529142618,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075961966,0.0529099852,0.0025469980,0.0046081366,0.0000000000,0.0051160739,0.0054090470,0.0021431628,0.0060236766,0.0007745756,0.0000000000,0.0000000000,0.0000000000,0.0384830609,0.0301338639,0.0003681770,0.0003990078,0.0036370293,0.0032442950,0.0046943058,0.0017376610,0.0015647436,0.0000000000,0.0000000000,0.0000000000,0.0029075735,0.0024712982,0.0000625389,0.0000815741,0.0000000000,0.0000000000,0.0058829137,0.0222003311,0.0222485997,0.0000000000,0.0035481649,0.0040538595,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0280714110,-0.0460020602,0.0040636072,0.0278789941,-0.0459932424,0.0011156797
13:45:28:06.842,61,0.0000000000,0.0000000000,0.0468564406,0.0000000000,0.0000000000,0.0075847791,0.0541164763,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075851576,0.0541130044,0.0026623413,0.0048343767,0.0000000000,0.0052274144,0.0054932269,0.0021665336,0.0061882958,0.0009022538,0.0000000000,0.0000000000,0.0000000000,0.0382169001,0.0304147787,0.0003693826,0.0003944338,0.0037346184,0.0033056997,0.0048081530,0.0018047405,0.0015464051,0.0000000000,0.0000000000,0.0000000000,0.0029456904,0.0024988598,0.0000432997,0.0000582855,0.0000000000,0.0000000000,0.0058718151,0.0241902880,0.0242447648,0.0000000000,0.0035233160,0.0040120692,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0283603594,-0.0452147275,0.0040594032,0.0281697419,-0.0452058502,0.0011614994
13:45:28:07.842,61,0.0000000000,0.0000000000,0.0471814573,0.0000000000,0.0000000000,0.0075263395,0.0551200472,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075267404,0.0551174432,0.0027332751,0.0050912141,0.0000000000,0.0053168559,0.0055643329,0.0021782175,0.0062866551,0.0011522541,0.0000000000,0.0000000000,0.0000000000,0.0368126072,0.0296535045,0.0003735416,0.0003906812,0.0038252990,0.0033451833,0.0048644133,0.0018444060,0.0014603657,0.0000000000,0.0000000000,0.0000000000,0.0029818995,0.0025216155,0.0000254149,0.0000363021,0.0000000000,0.0000000000,0.0058543957,0.0255828593,0.0256366469,0.0000000000,0.0034762532,0.0039452151,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0285276379,-0.0438798293,0.0040346631,0.0283620264,-0.0438709147,0.0012228861
13:45:28:08.842,61,0.0000000000,0.0000000000,0.0480481051,0.0000000000,0.0000000000,0.0075332471,0.0559400842,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075336387,0.0559379384,0.0028268564,0.0052481517,0.0000000000,0.0054133926,0.0056400378,0.0021775225,0.0063408483,0.0012175482,0.0000000000,0.0000000000,0.0000000000,0.0364483893,0.0294747613,0.0003711205,0.0003830954,0.0039546406,0.0034508300,0.0049440647,0.0018775665,0.0013876363,0.0000000000,0.0000000000,0.0000000000,0.0030164258,0.0025446820,0.0000078481,0.0000164103,0.0000000000,0.0000000000,0.0058090072,0.0264026560,0.0264571924,0.0000000000,0.0034508125,0.0038972457,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0290530361,-0.0436749682,0.0040598973,0.0288819503,-0.0436660089,0.0012607567
13:45:28:09.842,61,0.0000000000,0.0000000000,0.0489234366,0.0000000000,0.0000000000,0.0075612282,0.0570254177,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075616105,0.0570249595,0.0028947594,0.0053339293,0.0000000000,0.0054572760,0.0056704897,0.0021799470,0.0064022266,0.0013493655,0.0000000000,0.0000000000,0.0000000000,0.0361414701,0.0293726102,0.0003635426,0.0003695927,0.0040311594,0.0035119825,0.0049946844,0.0018869832,0.0013881356,0.0000000000,0.0000000000,0.0000000000,0.0030329477,0.0025509305,0.0000011402,0.0000059042,0.0000000000,0.0000000000,0.0057658390,0.0268144440,0.0268694628,0.0000000000,0.0034479138,0.0038744924,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0295881573,-0.0433180220,0.0040821806,0.0294067021,-0.0433090515,0.0013050395
