,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,1.1102374628535472e-06,0.0003575713199097663,0.00037425311165861785,0.38604238629341125,0.6847690343856812,0.38439223170280457,5.1528528274502605e-05,1.6450900375275523e-06,6.259960514398699e-07,0.0908818393945694,0.04975176230072975,0.2570619285106659,0.23059046268463135,0.016766903921961784,0.26845744252204895,0.2520044445991516,0.008531490340828896,0.033321548253297806,0.032170914113521576,0.21457579731941223,0.14756077527999878,0.007569503504782915,0.011616634204983711,0.0004345641646068543,0.0003544183273334056,0.021920783445239067,0.00012818188406527042,0.0026039506774395704,0.001118709216825664,0.0018168343231081963,0.0020848705898970366,0.0021460666321218014,0.008945987559854984,0.00013570401642937213,0.0043219332583248615,0.004338995553553104,0.025221455842256546,0.016553161665797234,0.02975715510547161,0.007178138941526413,0.0014583577867597342,0.0010567497229203582,0.0014714216813445091,0.026386668905615807,0.05780920758843422,0.06651417911052704,0.10116242617368698,0.19033636152744293,0.008491980843245983,0.01581761986017227,6.334671525110025e-06,9.896444908008561e-07
1,1,1.1862815654239967e-06,0.0004411328409332782,0.0004469818959478289,0.3521682620048523,0.6510615348815918,0.3462657034397125,4.7722864110255614e-05,1.5643699953216128e-06,6.204111286933767e-07,0.08872061967849731,0.052466362714767456,0.26085397601127625,0.23547407984733582,0.01557283103466034,0.27974188327789307,0.2656661570072174,0.008117391727864742,0.03291233256459236,0.03090183064341545,0.21831607818603516,0.14294199645519257,0.00772524531930685,0.010797602124512196,0.00040938082383945584,0.0003545352374203503,0.01876888982951641,0.00010714482050389051,0.0024420300032943487,0.001213720766827464,0.0017931722104549408,0.00247331359423697,0.002550604520365596,0.00839395634829998,0.00014578246918972582,0.0034998126793652773,0.003626763354986906,0.026330215856432915,0.01617228239774704,0.030089737847447395,0.006506459787487984,0.00154654192738235,0.0009206653339788318,0.0018278089119121432,0.029236584901809692,0.058818355202674866,0.06669924408197403,0.1004134863615036,0.1866450160741806,0.008352416567504406,0.016138602048158646,6.2867056840332225e-06,9.75796751845337e-07
2,2,1.2917564617964672e-06,0.0005136506515555084,0.0005109244375489652,0.3271472752094269,0.6312487721443176,0.3277558386325836,4.737318158731796e-05,1.5662404848626466e-06,6.265043452913233e-07,0.0903867706656456,0.054972726851701736,0.26812514662742615,0.24170254170894623,0.014980829320847988,0.2842354476451874,0.2705521583557129,0.008011038415133953,0.031686246395111084,0.029212825000286102,0.2198273241519928,0.14133614301681519,0.007494110148400068,0.010083735920488834,0.00039216550067067146,0.0003474754630587995,0.01793750934302807,0.0001052839943440631,0.0024671521969139576,0.0012685850961133838,0.0017909790622070432,0.0025437730364501476,0.002638072706758976,0.008342047221958637,0.000148999213706702,0.0031308464240282774,0.0032900411169975996,0.027793509885668755,0.016451431438326836,0.03056766279041767,0.006516837514936924,0.0016296235844492912,0.0008882202673703432,0.002054105047136545,0.03160306066274643,0.061688460409641266,0.06979232281446457,0.09794739633798599,0.18644656240940094,0.008373850025236607,0.01614622212946415,6.245610620680964e-06,1.0018793545896187e-06
3,3,1.380940489070781e-06,0.0005719923647120595,0.0005618025898002088,0.31290796399116516,0.6177964806556702,0.3144143223762512,4.5386055717244744e-05,1.5648907947252155e-06,6.283203219936695e-07,0.09142918139696121,0.05604333430528641,0.2733175456523895,0.24541746079921722,0.014762829057872295,0.285257488489151,0.2720584571361542,0.007974606938660145,0.03084619715809822,0.02814011462032795,0.2205539494752884,0.14039276540279388,0.007312860805541277,0.00975548755377531,0.000364460312994197,0.0003311015316285193,0.016572827473282814,0.00010235575609840453,0.0024490628857165575,0.0012933847028762102,0.0017010890878736973,0.0027533441316336393,0.002883711364120245,0.0078090764582157135,0.00014714481949340552,0.0026143582072108984,0.0028257393278181553,0.028639407828450203,0.015855252742767334,0.031231746077537537,0.006805729120969772,0.0017005853587761521,0.0008484100108034909,0.0023570151533931494,0.03378045931458473,0.06130865588784218,0.0687788799405098,0.09648604691028595,0.18921516835689545,0.008210543543100357,0.015751689672470093,6.2594972405349836e-06,1.0081947721118922e-06
4,4,1.4258990859161713e-06,0.0006226467667147517,0.0006073461263440549,0.30010828375816345,0.6086512804031372,0.30582165718078613,4.463546792976558e-05,1.539529307592602e-06,6.227609787856636e-07,0.09217230975627899,0.057590458542108536,0.2775207459926605,0.2488442063331604,0.01450001448392868,0.28666624426841736,0.27397048473358154,0.00793677382171154,0.030155932530760765,0.027198461815714836,0.22144915163516998,0.13871152698993683,0.007173512130975723,0.009387134574353695,0.00035008680424652994,0.00033238527248613536,0.015793059021234512,9.766258881427348e-05,0.0024002951104193926,0.0013040073681622744,0.0016618588706478477,0.002861097687855363,0.0030063320882618427,0.0075669358484447,0.00014827017730567604,0.002404771978035569,0.0026291448157280684,0.029251443222165108,0.015728486701846123,0.0313776470720768,0.006832216400653124,0.001733226585201919,0.0008210050873458385,0.002537716180086136,0.03530831262469292,0.06139889732003212,0.06850253790616989,0.09416195005178452,0.1864904910326004,0.008235478773713112,0.015708936378359795,6.303437203314388e-06,1.0206938441115199e-06
5,5,1.4799144310018164e-06,0.0006716227508150041,0.0006513698026537895,0.2885339856147766,0.6011650562286377,0.29762330651283264,4.463904406293295e-05,1.546091539239569e-06,6.286757638918061e-07,0.09222728759050369,0.05809454619884491,0.2821815609931946,0.2525829076766968,0.014148250222206116,0.29001718759536743,0.2774527370929718,0.007805970497429371,0.029422620311379433,0.02633795700967312,0.22127696871757507,0.13790105283260345,0.007116864435374737,0.009223045781254768,0.0003434995305724442,0.00032951001776382327,0.015599865466356277,9.695598419057205e-05,0.0024172994308173656,0.001326658413745463,0.001661151647567749,0.0029110198374837637,0.0030702820513397455,0.007493294309824705,0.00014571769861504436,0.0022946628741919994,0.002537453081458807,0.029939724132418633,0.01569618657231331,0.03143764287233353,0.007031051442027092,0.0017742407508194447,0.0008112947689369321,0.0026587408501654863,0.03637562319636345,0.062396205961704254,0.06934526562690735,0.09298001974821091,0.18682287633419037,0.008352740667760372,0.015852099284529686,6.296726496657357e-06,1.0408152775198687e-06
6,6,1.5243310826917877e-06,0.0007203505374491215,0.0006914830883033574,0.2753658890724182,0.5961483716964722,0.2919488847255707,4.481968790059909e-05,1.551947320876934e-06,6.346430154735572e-07,0.0913686752319336,0.05822697654366493,0.28708550333976746,0.25673243403434753,0.013943267054855824,0.2917248010635376,0.27968209981918335,0.007706768345087767,0.028741732239723206,0.025494230911135674,0.2226780205965042,0.1371660828590393,0.00714988075196743,0.009127076715230942,0.00033920316491276026,0.0003258310607634485,0.015574666671454906,9.679874347057194e-05,0.0024545430205762386,0.0013397072907537222,0.0016694263322278857,0.0029692507814615965,0.003140037413686514,0.007413764949887991,0.0001403575879521668,0.0022204932756721973,0.0024809592869132757,0.03048991970717907,0.015629462897777557,0.03128776699304581,0.007341404911130667,0.0018113916739821434,0.0008079322869889438,0.0027363772969692945,0.0367637500166893,0.06281238794326782,0.06949379295110703,0.09257224947214127,0.1880412995815277,0.008392062969505787,0.015842504799365997,6.273362032516161e-06,1.0623126627251622e-06
7,7,1.5506735735471011e-06,0.0007677404209971428,0.0007173691410571337,0.2628420293331146,0.5908067226409912,0.2894055247306824,4.44053512183018e-05,1.5512238178416737e-06,6.348319061544316e-07,0.0883781686425209,0.05719634145498276,0.28941893577575684,0.2594137489795685,0.01385494600981474,0.29314714670181274,0.28200364112854004,0.007594159338623285,0.028423625975847244,0.025014623999595642,0.22319120168685913,0.13627128303050995,0.007360726594924927,0.009264720603823662,0.00033377291401848197,0.0003224101383239031,0.01530497521162033,9.453768871026114e-05,0.0024620455224066973,0.001322106341831386,0.0016915702726691961,0.0031720688566565514,0.0033432813361287117,0.0072067477740347385,0.0001351482205791399,0.0021455520763993263,0.002404645085334778,0.030906038358807564,0.015764541923999786,0.030311042442917824,0.007548755966126919,0.0018497426062822342,0.0008046097937040031,0.002851983765140176,0.03702319785952568,0.06186917424201965,0.06828849017620087,0.09380768984556198,0.1868474781513214,0.008315522223711014,0.01580289751291275,6.191489774209913e-06,1.0726209893618943e-06
8,8,1.608777324690891e-06,0.0008204028708860278,0.0007435530424118042,0.24686697125434875,0.5895864963531494,0.2844475209712982,4.217411333229393e-05,1.5964205886120908e-06,6.35827404948941e-07,0.08434420078992844,0.055667974054813385,0.291534960269928,0.26183992624282837,0.013415795750916004,0.3042798936367035,0.29410406947135925,0.006978771649301052,0.027997637167572975,0.024577686563134193,0.22265882790088654,0.13710546493530273,0.007613583002239466,0.009571682661771774,0.0003181608917657286,0.00028999324422329664,0.014016826637089252,9.373079956276342e-05,0.0024138200096786022,0.0012913758400827646,0.0017302879132330418,0.0037544327788054943,0.003918393515050411,0.0066846576519310474,0.00011395350884413347,0.0018965943017974496,0.002158456714823842,0.03280440345406532,0.015882300212979317,0.02866336889564991,0.009165792725980282,0.001909585320390761,0.0007832625415176153,0.003276482690125704,0.03805192932486534,0.06005997210741043,0.06458677351474762,0.09967304021120071,0.1846632957458496,0.008380338549613953,0.01570574939250946,6.238931291591143e-06,1.0712348057495547e-06
9,9,1.6163048712769523e-06,0.0009381052805110812,0.0008108245674520731,0.22612641751766205,0.5735993981361389,0.2736651301383972,3.886467675329186e-05,1.6303788470395375e-06,6.319421572698047e-07,0.07945358008146286,0.05423574522137642,0.3033505976200104,0.27203989028930664,0.013358288444578648,0.315338134765625,0.3086196184158325,0.006179323419928551,0.026564903557300568,0.023203717544674873,0.21938998997211456,0.1407017558813095,0.007932828739285469,0.0100015914067626,0.00030402260017581284,0.0002739634073805064,0.012586543336510658,8.894351776689291e-05,0.002311752876266837,0.0012398273684084415,0.001807861146517098,0.004410425201058388,0.004538403823971748,0.006296238396316767,0.00010204828140558675,0.0016816890565678477,0.0019360552541911602,0.03304959088563919,0.01578223519027233,0.02852969616651535,0.010332711972296238,0.0019238896202296019,0.0007412717095576227,0.0036300041247159243,0.03909787908196449,0.06003076955676079,0.06368410587310791,0.10731248557567596,0.18388789892196655,0.008108355104923248,0.015262691304087639,6.255046628211858e-06,1.0559009524513385e-06
