,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,8.48135471187561e-07,0.0005985872121527791,0.0007392922416329384,0.2649259865283966,0.6781424880027771,0.3186649680137634,1.113094731408637e-05,6.258127882574627e-07,2.3341341659488535e-07,0.09874087572097778,0.06532105058431625,0.32086336612701416,0.28172436356544495,0.023277664557099342,0.22170841693878174,0.20640318095684052,0.01066621020436287,0.026778889819979668,0.023116599768400192,0.23638637363910675,0.18440841138362885,0.007190025877207518,0.008676009252667427,0.00010869419202208519,0.00012180630437796935,0.0018049980280920863,6.377256067935377e-05,0.0008423259132541716,0.0006150684203021228,0.0009399628033861518,0.0046558743342757225,0.004612224642187357,0.002258730586618185,0.0001816150761442259,0.00019804970361292362,0.00017863970424514264,0.01740400120615959,0.012599811889231205,0.03924715891480446,0.008236062712967396,0.0009118136367760599,0.0005166417104192078,0.006410322617739439,0.032574668526649475,0.017406195402145386,0.021228179335594177,0.05590460076928139,0.08144748210906982,0.0014300893526524305,0.002799002919346094,5.948856141912984e-06,5.362993533708504e-07
1,1,1.0555042990745278e-06,0.0009665530524216592,0.0010923605877906084,0.21234765648841858,0.6184907555580139,0.27022305130958557,1.133953446696978e-05,6.705012651764264e-07,2.4549692057007633e-07,0.10525934398174286,0.07232119888067245,0.3351653516292572,0.29856327176094055,0.020138582214713097,0.24021732807159424,0.23403939604759216,0.009550346061587334,0.02417052537202835,0.020669735968112946,0.22977203130722046,0.17580179870128632,0.006506281439214945,0.007400667294859886,9.885600593406707e-05,0.00013001532352063805,0.001799906138330698,5.414516999735497e-05,0.0009334934293292463,0.0006720757228322327,0.0010452702408656478,0.0057314373552799225,0.005684268660843372,0.002183858770877123,0.00015890374197624624,0.00016658034292049706,0.00015562774206046015,0.01978740282356739,0.01312640868127346,0.04000604897737503,0.009933680295944214,0.0011136697139590979,0.0004435624578036368,0.009038249962031841,0.04012567549943924,0.020314445719122887,0.024671107530593872,0.05440609157085419,0.08017048239707947,0.0017104928847402334,0.003362488467246294,5.858477379661053e-06,5.884789402443857e-07
2,2,1.1385119478291017e-06,0.001071446924470365,0.001160861225798726,0.20827098190784454,0.6013394594192505,0.2604562044143677,1.1420755072322208e-05,6.789719009248074e-07,2.545075403759256e-07,0.10600525140762329,0.07312077283859253,0.33633530139923096,0.30018505454063416,0.018628373742103577,0.25014039874076843,0.24795302748680115,0.009054942987859249,0.02371002733707428,0.020516786724328995,0.22596319019794464,0.17496605217456818,0.0063646892085671425,0.007291955407708883,9.486658382229507e-05,0.00013363722246140242,0.0018281049560755491,5.199835868552327e-05,0.0010083602974191308,0.0007133802282623947,0.0010574284242466092,0.005536206532269716,0.005533944349735975,0.002183417556807399,0.0001609659957466647,0.00015219025954138488,0.00014519218530040234,0.020861774682998657,0.013150842860341072,0.04061799868941307,0.010171794332563877,0.00116688571870327,0.0004373450356069952,0.009920881129801273,0.04263397678732872,0.022645791992545128,0.027291497215628624,0.054428428411483765,0.08074180036783218,0.0017574405064806342,0.003479822538793087,5.669061010848964e-06,6.00691464569536e-07
3,3,1.1988373671556474e-06,0.0011323046637699008,0.0012156489538028836,0.2069770097732544,0.5862935781478882,0.2528708875179291,1.147178772953339e-05,6.764022373317857e-07,2.5949728410523676e-07,0.10554786771535873,0.07507506012916565,0.337955117225647,0.30122125148773193,0.0177747942507267,0.25555795431137085,0.25637316703796387,0.008787021040916443,0.02363307774066925,0.02031797170639038,0.22529514133930206,0.1721336394548416,0.0063642822206020355,0.007093337830156088,9.082266478799284e-05,0.00014461230603046715,0.001870351959951222,4.872810313827358e-05,0.0010821924079209566,0.0007186949369497597,0.0010510740103200078,0.00556612852960825,0.00556558184325695,0.002134740585461259,0.0001719687134027481,0.00014015498163644224,0.000134743022499606,0.02167714387178421,0.01340625062584877,0.039960965514183044,0.009654735215008259,0.0012247960548847914,0.0004436564049683511,0.01082887314260006,0.04447687417268753,0.023620346561074257,0.028154708445072174,0.054702140390872955,0.0789775550365448,0.0017186241457238793,0.003429408185184002,5.489552222570637e-06,6.099136271586758e-07
4,4,1.237181663782394e-06,0.0012163248611614108,0.001283593475818634,0.20155902206897736,0.5738543272018433,0.24688032269477844,1.1531862583069596e-05,6.744691631865862e-07,2.648436634444806e-07,0.10506570339202881,0.07588550448417664,0.33826935291290283,0.3022546172142029,0.016657719388604164,0.2639603912830353,0.2662256956100464,0.008529957383871078,0.023541048169136047,0.020180286839604378,0.2233302742242813,0.17016996443271637,0.006362967658787966,0.007026734296232462,8.976995013654232e-05,0.00014985640882514417,0.0018839630065485835,4.68459002149757e-05,0.001121203531511128,0.000723973207641393,0.0010499210329726338,0.005432940553873777,0.005436381790786982,0.0021628588438034058,0.00017751261475495994,0.000134696121676825,0.00013056857278570533,0.02206307277083397,0.013362318277359009,0.04072173312306404,0.009534069336950779,0.001236048061400652,0.0004392060509417206,0.01117099728435278,0.04554424434900284,0.02494029700756073,0.0294562466442585,0.05546044558286667,0.0791715607047081,0.0017156807007268071,0.003437330946326256,5.4122688197821844e-06,6.197872721713793e-07
5,5,1.2529892501333961e-06,0.0012557231821119785,0.0013097261544317007,0.1990765929222107,0.5681402087211609,0.24598708748817444,1.1513435310916975e-05,6.780336434530909e-07,2.681104831481207e-07,0.10470433533191681,0.07581175118684769,0.3376098573207855,0.3028804063796997,0.01589902676641941,0.27046260237693787,0.27300721406936646,0.00835313182324171,0.023434601724147797,0.020183859393000603,0.2212185561656952,0.17017410695552826,0.006357865408062935,0.0070680538192391396,8.930360490921885e-05,0.00015131596592254937,0.0018891593208536506,4.6157059841789305e-05,0.0011389842256903648,0.0007214363431558013,0.0010454879375174642,0.005440560169517994,0.0054498640820384026,0.002162887714803219,0.00017693704285193235,0.00013201188994571567,0.00012856601097155362,0.022074202075600624,0.013222198002040386,0.04106558486819267,0.009678027592599392,0.001234847353771329,0.0004368196241557598,0.0113010723143816,0.04599132016301155,0.025112586095929146,0.029509130865335464,0.05564584583044052,0.07927299290895462,0.0017130644991993904,0.003435157472267747,5.3900112106930465e-06,6.275502073549433e-07
6,6,1.2558149364849669e-06,0.0012639138149097562,0.0013069716515019536,0.19803890585899353,0.5662502646446228,0.2475355863571167,1.1531181371537969e-05,6.797286005166825e-07,2.702797985421057e-07,0.10316348820924759,0.07534214109182358,0.33567458391189575,0.3015650510787964,0.015553158707916737,0.2736935019493103,0.2763307988643646,0.008271696045994759,0.023633893579244614,0.020343869924545288,0.22056950628757477,0.16880939900875092,0.006455600261688232,0.00715118320658803,8.919875108404085e-05,0.00015505804913118482,0.0018976125866174698,4.481528594624251e-05,0.0011546697933226824,0.0007180370157584548,0.001031814725138247,0.005490739829838276,0.005500726867467165,0.0021839505061507225,0.00017730995023157448,0.0001316520938416943,0.00012858658737968653,0.02189491130411625,0.012992747128009796,0.04208105430006981,0.009714956395328045,0.0012321937829256058,0.0004301154403947294,0.011340300552546978,0.046165745705366135,0.02500583417713642,0.029106976464390755,0.05616552382707596,0.07860764116048813,0.001730063115246594,0.0034593224991112947,5.400291684054537e-06,6.298459425124747e-07
7,7,1.2572623973028385e-06,0.0013191127218306065,0.001315645407885313,0.18956424295902252,0.5646092891693115,0.24678932130336761,1.1531235941220075e-05,6.846235578450433e-07,2.71079500180349e-07,0.10016299039125443,0.07425360381603241,0.3317694365978241,0.2991006672382355,0.014984166249632835,0.28157681226730347,0.2848018407821655,0.007953520864248276,0.02406238578259945,0.020658960565924644,0.21905288100242615,0.16597062349319458,0.006599989254027605,0.007381895091384649,8.91956951818429e-05,0.00015761727991048247,0.001886894810013473,4.299936335883103e-05,0.0011634978000074625,0.0007148958975449204,0.0010331823723390698,0.00563823152333498,0.0056185973808169365,0.002207110170274973,0.00016818128642626107,0.00013051940186414868,0.00012775186041835696,0.02184690721333027,0.012643823400139809,0.04294966906309128,0.010336041450500488,0.0012218148913234472,0.00041779616731218994,0.011505910195410252,0.04671615734696388,0.026183370500802994,0.029769225046038628,0.058821480721235275,0.07760496437549591,0.0018035843968391418,0.0035488007124513388,5.426020834420342e-06,6.331788426905405e-07
8,8,1.275238332709705e-06,0.0014247259823605418,0.0013498887419700623,0.17855560779571533,0.5595816373825073,0.2453596293926239,1.151613651018124e-05,6.890850272611715e-07,2.780786303446803e-07,0.0956815779209137,0.07248426228761673,0.32664546370506287,0.29662638902664185,0.013791062869131565,0.29707691073417664,0.3005090355873108,0.007356118876487017,0.024361278861761093,0.02091965638101101,0.21613813936710358,0.1633947640657425,0.006788149941712618,0.0077091604471206665,8.831741433823481e-05,0.00016606890130788088,0.0018669110722839832,3.9918206311995164e-05,0.0011739105684682727,0.0007190642063505948,0.0010272267973050475,0.005727905314415693,0.005664540454745293,0.0022255266085267067,0.00015477664419449866,0.00012621976202353835,0.00012523800251074135,0.02225225232541561,0.012196464464068413,0.04323653131723404,0.011495004408061504,0.0012005817843601108,0.0004116704221814871,0.011753122322261333,0.047976620495319366,0.02800537645816803,0.0305468887090683,0.06204552948474884,0.07498232275247574,0.001886678277514875,0.0036006320733577013,5.46982937521534e-06,6.494657895927958e-07
9,9,1.305246996707865e-06,0.00153620564378798,0.0013894611038267612,0.171536386013031,0.5482007265090942,0.24671483039855957,1.1701203220582101e-05,6.850356726317841e-07,2.9310740501387045e-07,0.0936785489320755,0.0713801383972168,0.32038581371307373,0.29304972290992737,0.012386322021484375,0.31660690903663635,0.320554256439209,0.00667425524443388,0.024642713367938995,0.021220918744802475,0.21541550755500793,0.16068819165229797,0.006884044036269188,0.007855992764234543,8.830738806864247e-05,0.0001762468455126509,0.001907212077639997,3.712636680575088e-05,0.0012433823430910707,0.0007634919602423906,0.0009830334456637502,0.005356253124773502,0.005321637261658907,0.002283978508785367,0.00014817067130934447,0.0001234874507645145,0.00012996290752198547,0.023425422608852386,0.01152969989925623,0.045481737703084946,0.012505759485065937,0.00118734547868371,0.0004000765911769122,0.011618540622293949,0.04727756232023239,0.028873005881905556,0.02983870916068554,0.061330705881118774,0.07196380943059921,0.0019288916373625398,0.0035227921325713396,5.556597443501232e-06,6.614269523197436e-07
10,10,1.428591303920257e-06,0.0016619687667116523,0.0015207011019811034,0.16733288764953613,0.5427815914154053,0.24379900097846985,1.187199723062804e-05,7.372455570475722e-07,3.062837663492246e-07,0.0892413929104805,0.06888264417648315,0.32202616333961487,0.2965639531612396,0.011753526516258717,0.3249141573905945,0.3284914195537567,0.006395480129867792,0.023654092103242874,0.0208512581884861,0.2040717750787735,0.15933676064014435,0.00710229342803359,0.008164952509105206,8.423523104283959e-05,0.00016582979878876358,0.0020594694651663303,3.8373316783690825e-05,0.0014275674475356936,0.0007263034931384027,0.0010071583092212677,0.0056630466133356094,0.005632585845887661,0.002349657705053687,0.00014539169205818325,0.0001156098151113838,0.00012178644828964025,0.023354163393378258,0.011684576980769634,0.04812071472406387,0.013277996331453323,0.001285279169678688,0.00039547448977828026,0.012753608636558056,0.05003679171204567,0.028497250750660896,0.03022376075387001,0.062356527894735336,0.07680998742580414,0.0021032607182860374,0.003952233586460352,5.2871064326609485e-06,6.796449838475382e-07
11,11,1.474282612434763e-06,0.00179348886013031,0.0015783634735271335,0.16588103771209717,0.5427049398422241,0.24482353031635284,1.2094102203263901e-05,7.723916155555344e-07,3.1470133876609907e-07,0.08533275127410889,0.06486311554908752,0.3222399652004242,0.29887858033180237,0.011723114177584648,0.32448309659957886,0.3272145092487335,0.006504860706627369,0.02315574139356613,0.020707234740257263,0.19335655868053436,0.15307112038135529,0.007310735993087292,0.008732239715754986,8.376080222660676e-05,0.00016165446140803397,0.00215670233592391,3.9469570765504614e-05,0.0015426822938024998,0.0006912637618370354,0.0009954803390428424,0.005830719601362944,0.005762907210737467,0.002507805125787854,0.00014268890663515776,0.00011585204629227519,0.00012120393512304872,0.02288205735385418,0.011341418139636517,0.05147036164999008,0.013691575266420841,0.0012992711272090673,0.0003793578362092376,0.01295884046703577,0.05117899551987648,0.030714454129338264,0.032386574894189835,0.06800694763660431,0.07941173762083054,0.0022566034458577633,0.0042645735666155815,5.127060376253212e-06,6.898201263538795e-07
12,12,1.5555881418549689e-06,0.0018693322781473398,0.0016297927359119058,0.16596613824367523,0.5498949289321899,0.2455364316701889,1.2276495908736251e-05,8.028468982956838e-07,3.1394233701576013e-07,0.08358992636203766,0.06314072012901306,0.32094693183898926,0.2984660267829895,0.011384302750229836,0.32817110419273376,0.3297787010669708,0.006443359889090061,0.022722311317920685,0.02049209363758564,0.18423794209957123,0.14712277054786682,0.0074046580120921135,0.008840612135827541,8.143006562022492e-05,0.0001456557511119172,0.0021503176540136337,4.118858851143159e-05,0.0015251364093273878,0.0006664444808848202,0.0010240189731121063,0.006971719674766064,0.006858730688691139,0.0023934461642056704,0.00012691323354374617,0.00011592586088227108,0.00012097970466129482,0.023452330380678177,0.011694795452058315,0.050021883100271225,0.015486445277929306,0.001393284648656845,0.0003636580368038267,0.014585074037313461,0.05422854423522949,0.028289251029491425,0.030490631237626076,0.06701663136482239,0.07888534665107727,0.0025056577287614346,0.004850578494369984,5.218812020757468e-06,7.006505029494292e-07
13,13,1.6242348692685482e-06,0.0018592681735754013,0.0016741791041567922,0.16778875887393951,0.5507494211196899,0.2444954365491867,1.2646852155739907e-05,8.124051191771287e-07,3.2050670029093453e-07,0.08245277404785156,0.06139199435710907,0.32039546966552734,0.2977541983127594,0.011546226218342781,0.32059648633003235,0.32110917568206787,0.006856386084109545,0.022484229877591133,0.020445438101887703,0.17924588918685913,0.14253002405166626,0.0075059509836137295,0.008957556448876858,8.06546158855781e-05,0.00014491486945189536,0.0021819781977683306,4.114015246159397e-05,0.0015267382841557264,0.0006699676159769297,0.0010268595069646835,0.007607650943100452,0.007538588251918554,0.002257855609059334,0.00012122764019295573,0.0001178979582618922,0.00012474563845898956,0.02463695965707302,0.012137246318161488,0.04635808989405632,0.016256919130682945,0.0014885744312778115,0.0003752915363293141,0.015473117120563984,0.05591091886162758,0.02601751685142517,0.028372671455144882,0.06317907571792603,0.07697886228561401,0.0025718233082443476,0.0050188093446195126,5.276433057588292e-06,7.265310273396608e-07
14,14,1.6589320921411854e-06,0.0018848564941436052,0.001680667162872851,0.16404201090335846,0.5544039011001587,0.24420717358589172,1.295124184252927e-05,8.050457722674764e-07,3.174316418608214e-07,0.08336077630519867,0.06246672943234444,0.3219209313392639,0.29898601770401,0.011800129897892475,0.3145490288734436,0.3159279227256775,0.007067461498081684,0.02230662852525711,0.02012587897479534,0.1825488656759262,0.14271856844425201,0.007431186269968748,0.008636869490146637,8.078224345808849e-05,0.0001351469400105998,0.0021856832318007946,4.334151526563801e-05,0.0015053021488711238,0.0007049597334116697,0.0010235363151878119,0.007621044293045998,0.007646565791219473,0.002186217112466693,0.00011433588952058926,0.00012050844816258177,0.00013030476111453027,0.025349639356136322,0.012214114889502525,0.04461769759654999,0.017270943149924278,0.0015128280501812696,0.00037953289574943483,0.015709323808550835,0.05641231685876846,0.02498764358460903,0.027540255337953568,0.05869675427675247,0.07682056725025177,0.002679952187463641,0.005217328667640686,5.393811534304405e-06,7.381721047750034e-07
15,15,1.6766599628681433e-06,0.0018579908646643162,0.0016920591006055474,0.16023701429367065,0.5562847852706909,0.24266751110553741,1.3213608326623216e-05,8.116043659356365e-07,3.222143618586415e-07,0.0849446952342987,0.06438561528921127,0.3241787850856781,0.30097246170043945,0.012080400250852108,0.3092341423034668,0.31109485030174255,0.007328330539166927,0.02230043336749077,0.01991085335612297,0.18749891221523285,0.14265109598636627,0.007378698326647282,0.00832789484411478,8.306687232106924e-05,0.00013206640142016113,0.002176787005737424,4.398428063723259e-05,0.001481411512941122,0.0007442832575179636,0.0010012268321588635,0.007932284846901894,0.008064690977334976,0.002182604046538472,0.00010724570893216878,0.0001234985247720033,0.0001377156877424568,0.025834672152996063,0.011833975091576576,0.044558245688676834,0.01818610541522503,0.0015385944861918688,0.00037537599564529955,0.015645014122128487,0.0555591955780983,0.024304701015353203,0.026419946923851967,0.05778925120830536,0.07941211014986038,0.002705927938222885,0.005167442373931408,5.5611985771975014e-06,7.507582608923258e-07
16,16,1.6337439774360973e-06,0.0018283937824890018,0.001637916313484311,0.16157329082489014,0.5568703413009644,0.24237175285816193,1.3184240742702968e-05,7.893324891483644e-07,3.1553378221360617e-07,0.08546020835638046,0.06570666283369064,0.32636532187461853,0.3025059998035431,0.01246798224747181,0.30339276790618896,0.30579811334609985,0.007573605980724096,0.02230263501405716,0.019744915887713432,0.1886054128408432,0.14175139367580414,0.007337534800171852,0.008178300224244595,8.397578494623303e-05,0.00013430649414658546,0.0021540136076509953,4.3764623114839196e-05,0.0014559036353603005,0.000770367740187794,0.0010163621045649052,0.007548745255917311,0.007695388980209827,0.0021739667281508446,0.00011208084470126778,0.00012492241512518376,0.00013764385948888958,0.026082634925842285,0.012106925249099731,0.04357187822461128,0.01726483181118965,0.0015226042596623302,0.00037647029967047274,0.015286200679838657,0.05425912141799927,0.02486899122595787,0.02707289345562458,0.05618062987923622,0.07743095606565475,0.002599272644147277,0.004866163246333599,5.549876732402481e-06,7.434382496285252e-07
