,frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,upper_x_12,upper_y_12,upper_x_13,upper_y_13,upper_x_14,upper_y_14,upper_x_15,upper_y_15,upper_x_16,upper_y_16,upper_x_17,upper_y_17,upper_x_18,upper_y_18,upper_x_19,upper_y_19,upper_x_20,upper_y_20,upper_x_21,upper_y_21,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11,lower_x_12,lower_y_12,lower_x_13,lower_y_13,lower_x_14,lower_y_14,lower_x_15,lower_y_15,lower_x_16,lower_y_16,lower_x_17,lower_y_17,lower_x_18,lower_y_18,lower_x_19,lower_y_19,lower_x_20,lower_y_20,lower_x_21,lower_y_21
0,0,0,810.1809,2175.4172,834.4395,2147.579,871.8484,2118.237,924.7366,2085.1523,1005.0615,2056.0337,1081.6835,2074.903,1158.4858,2057.2856,1236.895,2088.8997,1290.6599,2122.1345,1326.9637,2151.8804,1350.5791,2177.998,1325.0764,2176.5474,1281.6252,2172.4785,1245.5258,2167.5176,1198.7705,2163.0872,1143.4159,2162.4211,1081.1133,2163.7114,1020.32745,2160.8286,965.2947,2160.5496,916.7662,2165.6675,879.1854,2169.6084,836.7788,2173.6675,1325.0764,2176.5474,1284.0995,2172.6343,1247.5123,2168.9988,1200.2483,2165.9019,1142.538,2167.5898,1078.8907,2169.2983,1017.0846,2166.3518,961.82806,2167.4583,913.636,2169.4978,877.8006,2172.0007,836.7788,2173.6675,810.1809,2175.4172,836.05505,2205.6367,873.26904,2235.9114,929.52795,2271.5415,1000.3816,2293.5286,1078.7826,2299.0415,1161.2024,2292.0068,1232.6727,2268.3318,1288.6837,2234.4114,1326.1201,2204.2634,1350.5791,2177.998
1,1,16,811.0673,2175.439,834.7008,2147.9233,871.81775,2118.767,924.4576,2085.9995,1004.4333,2056.9229,1080.8398,2075.7583,1157.8788,2058.2168,1236.8641,2089.953,1290.767,2123.2334,1327.0911,2153.1143,1350.8145,2178.8389,1325.3695,2177.3027,1281.8737,2173.391,1245.6798,2168.2668,1198.8396,2163.657,1143.4187,2162.97,1080.9338,2164.3213,1020.17065,2161.2046,965.1975,2160.7778,916.766,2165.87,879.3561,2169.8062,837.4395,2173.7217,1325.3695,2177.3027,1284.1603,2173.3066,1247.5112,2169.511,1200.2224,2166.295,1142.4763,2168.037,1078.8494,2169.688,1017.08813,2166.657,961.9232,2167.7307,913.92444,2169.7595,878.2503,2172.1792,837.4395,2173.7217,811.0673,2175.439,837.6837,2205.6748,875.0889,2235.9163,930.9561,2271.5012,1001.0404,2293.3726,1078.8546,2298.9163,1161.0896,2291.885,1232.3191,2268.2976,1288.3533,2234.4817,1326.063,2204.6978,1350.8145,2178.8389
2,2,33,811.58124,2175.438,834.9452,2147.987,871.831,2118.863,924.44904,2086.1426,1004.3592,2057.0103,1080.6307,2075.8174,1157.6244,2058.3066,1236.7968,2090.1147,1290.7667,2123.4001,1327.0901,2153.2832,1350.824,2178.9019,1325.389,2177.3481,1281.8804,2173.476,1245.6799,2168.3418,1198.839,2163.7058,1143.4165,2163.0095,1080.8888,2164.3708,1020.1515,2161.2249,965.1969,2160.7869,916.80383,2165.882,879.5489,2169.824,837.8956,2173.7224,1325.389,2177.3481,1284.1558,2173.3242,1247.4783,2169.513,1200.1897,2166.2925,1142.4583,2168.0369,1078.8478,2169.6877,1017.1099,2166.6558,962.0279,2167.7317,914.137,2169.7678,878.5591,2172.1838,837.8956,2173.7224,811.58124,2175.438,838.36646,2205.675,875.7432,2235.912,931.4908,2271.4795,1001.349,2293.3179,1078.9268,2298.8684,1161.0745,2291.8225,1232.2166,2268.2373,1288.2015,2234.47,1325.989,2204.7075,1350.824,2178.9019
3,3,50,811.6886,2175.4126,834.96027,2148.0098,871.76526,2118.9026,924.2616,2086.1912,1004.0236,2057.014,1080.1329,2075.8157,1157.1619,2058.3098,1236.6904,2090.1597,1290.7717,2123.462,1327.1302,2153.3665,1351.0143,2178.9265,1325.5916,2177.3723,1281.9591,2173.5378,1245.6893,2168.391,1198.8369,2163.7297,1143.3896,2163.0198,1080.7305,2164.379,1019.9966,2161.226,965.0989,2160.7878,916.78644,2165.8865,879.5586,2169.8306,837.96783,2173.7124,1325.5916,2177.3723,1284.1809,2173.343,1247.4741,2169.519,1200.1631,2166.293,1142.4131,2168.0383,1078.811,2169.6877,1017.0974,2166.6543,962.0326,2167.732,914.1724,2169.7695,878.6191,2172.184,837.96783,2173.7124,811.6886,2175.4126,838.6144,2205.651,876.0279,2235.837,931.7181,2271.2979,1001.46515,2293.0466,1078.9426,2298.635,1161.0435,2291.5835,1232.1378,2268.0574,1288.1456,2234.425,1325.9883,2204.708,1351.0143,2178.9265
4,4,66,812.1865,2174.8074,835.2977,2147.7637,871.85944,2118.7532,924.2855,2086.1125,1004.0212,2056.9097,1080.079,2075.6738,1157.0894,2058.203,1236.6874,2090.0847,1290.8165,2123.3716,1327.189,2153.2554,1351.1521,2178.6707,1325.753,2177.1199,1282.0656,2173.3865,1245.7483,2168.258,1198.8846,2163.5842,1143.4269,2162.8625,1080.7305,2164.2283,1020.0086,2161.0208,965.13965,2160.5415,916.91095,2165.62,879.822,2169.5342,838.39575,2173.2046,1325.753,2177.1199,1284.2325,2173.0874,1247.4878,2169.2393,1200.173,2165.9983,1142.4283,2167.7866,1078.8452,2169.4329,1017.2044,2166.3955,962.2529,2167.4849,914.493,2169.51,879.00757,2171.8335,838.39575,2173.2046,812.1865,2174.8074,839.3233,2205.1406,876.80365,2235.3142,932.45465,2270.6785,1001.98267,2292.3062,1079.1626,2297.9028,1161.0654,2290.8079,1232.1353,2267.3113,1288.136,2233.89,1325.9905,2204.3464,1351.1521,2178.6707
5,5,83,812.29724,2173.8447,835.3317,2147.1172,871.84564,2118.1736,924.21564,2085.6052,1003.85596,2056.347,1079.8079,2075.0881,1156.8564,2057.7852,1236.6577,2089.8643,1290.8434,2123.2212,1327.2743,2153.1572,1351.3695,2178.5452,1325.9663,2176.9675,1282.1517,2173.2427,1245.7609,2168.064,1198.8851,2163.2832,1143.416,2162.4187,1080.6376,2163.6672,1019.9425,2160.3467,965.1148,2159.8206,916.91266,2164.9172,879.85767,2168.843,838.483,2172.327,1325.9663,2176.9675,1284.2723,2172.8838,1247.4877,2168.9563,1200.16,2165.608,1142.4031,2167.329,1078.8219,2168.848,1017.2013,2165.742,962.2646,2166.8167,914.54126,2168.8428,879.08374,2171.0872,838.483,2172.327,812.29724,2173.8447,839.536,2204.176,877.05005,2234.1736,932.65686,2269.2678,1002.07983,2290.721,1079.1683,2296.4604,1161.0234,2289.4836,1232.0497,2266.2986,1288.0933,2233.3257,1325.9954,2204.0798,1351.3695,2178.5452
6,6,100,812.28564,2173.1064,835.2748,2146.6157,871.6313,2117.676,923.9195,2085.0613,1003.49286,2055.6084,1079.3131,2074.2715,1156.3978,2057.129,1236.4984,2089.4495,1290.8318,2122.9082,1327.2737,2152.9202,1351.3795,2178.2432,1325.9736,2176.653,1282.1472,2172.9988,1245.7157,2167.809,1198.8168,2162.9673,1143.3075,2162.0256,1080.3666,2163.2302,1019.6748,2159.8472,964.90753,2159.3186,916.808,2164.4448,879.80975,2168.3665,838.461,2171.6594,1325.9736,2176.653,1284.2457,2172.547,1247.3977,2168.59,1200.0344,2165.199,1142.255,2166.9097,1078.6719,2168.388,1017.09735,2165.2458,962.21985,2166.3337,914.5225,2168.3574,879.06805,2170.525,838.461,2171.6594,812.28564,2173.1064,839.5294,2203.5242,877.0434,2233.5015,932.65375,2268.484,1002.0773,2289.8445,1079.1313,2295.6333,1160.89,2288.6423,1231.8727,2265.529,1287.9448,2232.7634,1325.9459,2203.68,1351.3795,2178.2432
7,7,116,811.71674,2172.6619,834.349,2146.3164,870.111,2117.3582,922.0324,2084.684,1001.4374,2055.0693,1077.2048,2073.6611,1154.556,2056.637,1235.4775,2089.1575,1290.3867,2122.697,1327.0363,2152.775,1351.3052,2178.065,1325.8877,2176.4805,1281.8953,2172.8794,1245.187,2167.6785,1198.0548,2162.7969,1142.2339,2161.8022,1078.7362,2162.976,1017.9867,2159.5603,963.3867,2159.0403,915.66644,2164.1865,878.9719,2168.1033,837.8443,2171.2688,1325.8877,2176.4805,1283.8783,2172.3843,1246.7125,2168.4087,1199.0632,2164.9866,1141.0531,2166.691,1077.3622,2168.1328,1015.9065,2164.9744,961.2845,2166.0715,913.7952,2168.094,878.4391,2170.2163,837.8443,2171.2688,811.71674,2172.6619,839.12195,2203.1028,876.6367,2232.9678,932.132,2267.7327,1001.3644,2288.94,1078.126,2294.7793,1159.5936,2287.7993,1230.5726,2264.854,1286.9542,2232.3662,1325.4536,2203.45,1351.3052,2178.065
8,8,133,810.0651,2172.1357,832.55774,2146.0017,868.05286,2117.116,919.94604,2084.487,999.32666,2054.836,1075.0098,2073.4092,1152.434,2056.4634,1233.8679,2089.0532,1289.3591,2122.6116,1326.275,2152.7117,1350.8113,2177.9722,1325.3352,2176.3816,1281.0767,2172.8113,1244.0568,2167.5974,1196.7087,2162.6846,1140.6665,2161.645,1076.806,2162.7861,1015.959,2159.3147,961.369,2158.773,913.7811,2163.9023,877.24866,2167.7805,836.2117,2170.791,1325.3352,2176.3816,1282.8992,2172.2798,1245.3938,2168.288,1197.5164,2164.8398,1139.3658,2166.5317,1075.6432,2167.9285,1014.21576,2164.708,959.71564,2165.765,912.29266,2167.7512,876.913,2169.8137,836.2117,2170.791,810.0651,2172.1357,837.68646,2202.641,875.30316,2232.5334,930.828,2267.3013,1000.0485,2288.5432,1076.7286,2294.4617,1157.9641,2287.5146,1228.988,2264.623,1285.5898,2232.2131,1324.4813,2203.338,1350.8113,2177.9722
9,9,150,807.99506,2172.119,829.95734,2145.9817,864.8963,2117.058,916.4951,2084.3818,995.8199,2054.6345,1071.4785,2073.1707,1148.9972,2056.313,1231.202,2089.0046,1287.4753,2122.5974,1324.8344,2152.711,1349.7455,2177.977,1324.1038,2176.3826,1279.312,2172.8135,1241.8214,2167.5945,1194.172,2162.6575,1137.7982,2161.5732,1073.5378,2162.6858,1012.71124,2159.1948,958.3331,2158.6824,911.2002,2163.8555,875.05286,2167.7607,834.18933,2170.7666,1324.1038,2176.3826,1281.0092,2172.2722,1243.0378,2168.258,1194.8452,2164.773,1136.458,2166.4436,1072.6299,2167.8174,1011.3468,2164.5854,957.17224,2165.6619,910.08435,2167.6807,874.9028,2169.7612,834.18933,2170.7666,807.99506,2172.119,835.5304,2202.6182,872.9741,2232.494,928.3125,2267.2192,997.4477,2288.4236,1074.0511,2294.3528,1155.2345,2287.4065,1226.4745,2264.5625,1283.4655,2232.202,1322.8687,2203.3376,1349.7455,2177.977
