,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,1.1454625337137259e-06,0.001192352152429521,0.0012794099748134613,0.2484036237001419,0.44903650879859924,0.25576052069664,1.4249025298340712e-05,5.215305804995296e-07,3.265234056470945e-07,0.14332889020442963,0.1690986305475235,0.28008395433425903,0.262342631816864,0.01084247324615717,0.3487922251224518,0.3761911392211914,0.004354818724095821,0.03210011124610901,0.02379518188536167,0.3587927222251892,0.2447037398815155,0.004145365208387375,0.0031122956424951553,0.00012629295815713704,0.00025407643988728523,0.0025664018467068672,5.074667205917649e-05,0.0009400258422829211,0.001902250456623733,0.0015701752854511142,0.005102170631289482,0.005102889612317085,0.0010922092478722334,0.00028457760345190763,0.00031995371682569385,0.00037481370964087546,0.054740060120821,0.023660017177462578,0.011463976465165615,0.003155297366902232,0.002477399306371808,0.0008949996554292738,0.007394910790026188,0.019114414229989052,0.01619427651166916,0.016707921400666237,0.028201749548316002,0.04880222678184509,0.0004047416150569916,0.0006654254393652081,5.5975988288992085e-06,6.666635385954578e-07
1,1,1.1750792054954218e-06,0.0013151962775737047,0.00124718202278018,0.21984560787677765,0.4222778379917145,0.24350795149803162,1.55479610839393e-05,3.795316274590732e-07,2.6236293138026667e-07,0.20191703736782074,0.3268541991710663,0.36549538373947144,0.3293631076812744,0.010128949768841267,0.363930881023407,0.39187395572662354,0.004236895125359297,0.025550296530127525,0.016642697155475616,0.34711894392967224,0.2531123161315918,0.002677696058526635,0.0010558923240751028,0.0001154929050244391,0.0002681193291209638,0.0027401428669691086,5.187929127714597e-05,0.0011056450894102454,0.002112237038090825,0.0021775029599666595,0.003892113221809268,0.0037329543847590685,0.000914356205612421,0.0002232404804090038,0.00029550454928539693,0.0003143636276945472,0.062126871198415756,0.028706487268209457,0.008960224688053131,0.0046571604907512665,0.0025151874870061874,0.001067638280801475,0.00841751229017973,0.019318949431180954,0.02193767949938774,0.023290786892175674,0.02561759017407894,0.04265952482819557,0.00046262648538686335,0.0007750955410301685,5.40072414878523e-06,5.769057906945818e-07
2,2,1.3129612170814653e-06,0.001542446669191122,0.001474054530262947,0.19465743005275726,0.3855869174003601,0.22363708913326263,1.878532384580467e-05,3.709587304001616e-07,2.705157271520875e-07,0.3497028350830078,0.524228572845459,0.5880230665206909,0.5398349761962891,0.01341888215392828,0.3118845522403717,0.338884562253952,0.005685427226126194,0.01156597025692463,0.006243587005883455,0.3940736949443817,0.2919025123119354,0.0013259592233225703,0.00031502972706221044,0.0001255242241313681,0.00036315800389274955,0.003260208060964942,5.225535642239265e-05,0.0012914711842313409,0.0020770200062543154,0.0028431315440684557,0.004465168807655573,0.004023576620966196,0.0009466044139117002,0.00020604117889888585,0.00035723892506211996,0.0003923453332390636,0.0659455880522728,0.030970577150583267,0.008337563835084438,0.005525240674614906,0.0029425709508359432,0.001307946047745645,0.00907869916409254,0.01895643025636673,0.02254941500723362,0.0233298409730196,0.024548731744289398,0.04145922139286995,0.0005412201280705631,0.0009461804875172675,5.8885452745016664e-06,6.354545689646329e-07
3,3,1.1972731499554357e-06,0.0014219684526324272,0.0013879593461751938,0.18919400870800018,0.393663227558136,0.22968465089797974,1.763231193763204e-05,3.7799935626026127e-07,2.725253693824925e-07,0.3284434974193573,0.46856045722961426,0.5736429691314697,0.5267466902732849,0.013821487314999104,0.31994155049324036,0.35370102524757385,0.0048229265958070755,0.012111056596040726,0.006747986190021038,0.3879619538784027,0.2901209890842438,0.001456204685382545,0.00043055234709754586,0.00012165250518592075,0.00037872602115385234,0.0033036682289093733,4.992480899090879e-05,0.0013269364135339856,0.0021091809030622244,0.0029840560164302588,0.0040129851549863815,0.003607579041272402,0.0009187203831970692,0.00020157131075393409,0.0003532127884682268,0.0003831435169558972,0.0678090751171112,0.032225098460912704,0.007761025335639715,0.005609462037682533,0.002913150703534484,0.0013753609964624047,0.008749116212129593,0.01818668097257614,0.022827504202723503,0.02348882146179676,0.024370456114411354,0.03824599087238312,0.000518886256031692,0.0008772224537096918,5.606066679320065e-06,6.130247243163467e-07
4,4,1.148197839029308e-06,0.0013686604797840118,0.0014499645913019776,0.17918473482131958,0.40046560764312744,0.22165919840335846,1.641179005673621e-05,3.4297150364182016e-07,2.885929291096545e-07,0.302333265542984,0.4526694118976593,0.54901123046875,0.49969276785850525,0.012238392606377602,0.37450146675109863,0.41791829466819763,0.003015310736373067,0.013364751823246479,0.007417039014399052,0.3610662519931793,0.2779516875743866,0.0016687239985913038,0.00046736147487536073,0.00011648245708784088,0.00042332641896791756,0.0035372250713407993,4.8988647904479876e-05,0.0014844248071312904,0.002243639435619116,0.0032297291327267885,0.0031797890551388264,0.00289486744441092,0.000952733913436532,0.00021675266907550395,0.00033950014039874077,0.0003659540961962193,0.0706334188580513,0.034539125859737396,0.007710963021963835,0.005319358315318823,0.002983169397339225,0.001619674963876605,0.00794224627315998,0.01647738367319107,0.0231818575412035,0.02436494641005993,0.022392669692635536,0.03794467821717262,0.000442730903159827,0.0007276671822182834,5.524213520402554e-06,5.508722438207769e-07
5,5,1.0409771675767843e-06,0.0013410801766440272,0.0013958618510514498,0.19512124359607697,0.40722471475601196,0.2220260053873062,1.422281093255151e-05,3.4931170489471697e-07,2.662092981609021e-07,0.2311517298221588,0.34258925914764404,0.4313403069972992,0.37907874584198,0.011591920629143715,0.39680272340774536,0.43866774439811707,0.0025435357820242643,0.02040097862482071,0.012574351392686367,0.331510990858078,0.2609521150588989,0.002309876959770918,0.0009447694174014032,0.0001049120764946565,0.00039453309727832675,0.0032825146336108446,4.625227666110732e-05,0.0014376883627846837,0.0020023086108267307,0.0031438819132745266,0.0028485930524766445,0.0025737618561834097,0.0008911848999559879,0.00022758389241062105,0.00029561531846411526,0.0002927201858256012,0.06686363369226456,0.03631410002708435,0.007639733143150806,0.004975589457899332,0.002747580176219344,0.0015505709452554584,0.007744729984551668,0.01689562201499939,0.024274297058582306,0.026600586250424385,0.02504287101328373,0.03641890734434128,0.00037174674798734486,0.0006327951559796929,5.0026646931655705e-06,5.109645258016826e-07
6,6,1.0754398545032018e-06,0.001528772059828043,0.0015711862361058593,0.19292448461055756,0.40264907479286194,0.21466974914073944,1.254099333891645e-05,3.8683714365106425e-07,2.8489603209891357e-07,0.1776670217514038,0.24083593487739563,0.31061625480651855,0.2794913649559021,0.010534017346799374,0.4127906560897827,0.4573647677898407,0.0022674177307635546,0.028916705399751663,0.020464899018406868,0.30719149112701416,0.2508898675441742,0.003075880231335759,0.001846402883529663,9.799066901905462e-05,0.0003622221411205828,0.0031486391089856625,4.3934058339800686e-05,0.0014359767083078623,0.0019779247231781483,0.002817999804392457,0.00258648581802845,0.002426604740321636,0.0009477897547185421,0.000254264276009053,0.0002610899682622403,0.00025538986665196717,0.06350589543581009,0.03695977106690407,0.008271262049674988,0.004467020742595196,0.002643022919073701,0.0014831278240308166,0.007601138669997454,0.017631895840168,0.024213457480072975,0.02784484066069126,0.025298627093434334,0.0407872311770916,0.0003361749113537371,0.0005662093753926456,4.7591493057552725e-06,5.275368266666192e-07
7,7,1.149959985013993e-06,0.0017902503022924066,0.0018313219770789146,0.19034117460250854,0.3952370584011078,0.20565654337406158,1.1430038284743205e-05,4.205240600185789e-07,3.1236729114425543e-07,0.1417602002620697,0.17120316624641418,0.24666856229305267,0.22924326360225677,0.00972837582230568,0.42379316687583923,0.46988824009895325,0.002099545206874609,0.03444135934114456,0.026515506207942963,0.28907546401023865,0.23686836659908295,0.0038972985930740833,0.0030332275200635195,9.18853547773324e-05,0.00034210601006634533,0.002955760806798935,4.1133404010906816e-05,0.0013853658456355333,0.002014403697103262,0.0026225100737065077,0.002490749815478921,0.0023969814646989107,0.0010287580080330372,0.0002700223121792078,0.00023694343690294772,0.0002319220220670104,0.06255142390727997,0.03710603713989258,0.009135757572948933,0.004316406790167093,0.0025925354566425085,0.0013736494584009051,0.007966576144099236,0.018613619729876518,0.02342807501554489,0.027386436238884926,0.02466701716184616,0.042433105409145355,0.00033609350793994963,0.0005511681665666401,4.715605882665841e-06,5.537492029361601e-07
8,8,1.1814178151325905e-06,0.0020238272845745087,0.002113895956426859,0.18586008250713348,0.3880142569541931,0.19409982860088348,1.0690625458664726e-05,4.1836716491161496e-07,3.435365272252966e-07,0.11654407531023026,0.11973636597394943,0.21781015396118164,0.20470400154590607,0.009296401403844357,0.43149182200431824,0.4770709276199341,0.0020094411447644234,0.03729496896266937,0.03078753687441349,0.26908621191978455,0.20331449806690216,0.004783652722835541,0.004459579009562731,8.647234790259972e-05,0.0003444411850068718,0.0028939000330865383,3.782693966059014e-05,0.0014010292943567038,0.0020002860110253096,0.0024520386941730976,0.002328516449779272,0.0023105915170162916,0.0011002375977113843,0.00029001838993281126,0.00022145247203297913,0.00022139483189675957,0.06144772842526436,0.03670357167720795,0.01016159262508154,0.004203552845865488,0.0025247186422348022,0.0012919731670990586,0.008036026731133461,0.019289255142211914,0.02119102142751217,0.025057731196284294,0.022761734202504158,0.042393602430820465,0.000335301854647696,0.0005317868199199438,4.640890892915195e-06,5.525701567421493e-07
9,9,1.1813287983386545e-06,0.002306545851752162,0.002488040830940008,0.16951364278793335,0.3801995515823364,0.18381629884243011,1.0268781807099003e-05,4.030126206089335e-07,3.6341410236673255e-07,0.09583833068609238,0.0932268425822258,0.20865985751152039,0.1970413625240326,0.009263137355446815,0.43573763966560364,0.4829426407814026,0.001874543377198279,0.03792859986424446,0.032037895172834396,0.247915580868721,0.1846771240234375,0.0058352150954306126,0.0056795538403093815,8.256603177869692e-05,0.00034591276198625565,0.0029311159159988165,3.655807449831627e-05,0.0014419438084587455,0.001996152102947235,0.0023745999205857515,0.002188577316701412,0.0022168683353811502,0.0011413542088121176,0.00030030010384507477,0.00021827389718964696,0.00022154983889777213,0.061662040650844574,0.036803338676691055,0.010654476471245289,0.004168007057160139,0.002527430420741439,0.0012946375645697117,0.007790750358253717,0.019195908680558205,0.019328322261571884,0.023007908836007118,0.021352699026465416,0.04066215083003044,0.0003298123774584383,0.0005097436369396746,4.5129381760489196e-06,5.433930709841661e-07
