frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11
1.0,0.0,787.0,2167.1,886.9,2099.8,992.9,2061.3,1080.2,2084.1,1173.5,2062.9,1279.3,2104.2,1365.9,2165.1,1320.1,2173.4,1176.8,2159.3,1080.5,2169.0,991.9,2161.6,832.9,2171.9,832.9,2171.9,985.7,2160.3,1074.0,2168.5,1169.4,2158.9,1320.1,2173.4,1365.9,2165.1,1275.7,2250.3,1175.8,2287.3,1075.2,2298.6,981.6,2291.3,876.7,2254.1,787.0,2167.1
2.0,0.017,786.7,2165.6,885.1,2097.7,989.3,2060.7,1077.4,2083.0,1172.4,2061.5,1276.0,2102.1,1360.8,2163.2,1315.3,2170.8,1175.7,2152.5,1077.7,2163.1,988.5,2155.7,831.7,2169.8,831.7,2169.8,983.6,2159.2,1072.7,2167.2,1169.8,2156.3,1315.3,2170.8,1360.8,2163.2,1273.2,2243.6,1175.7,2279.2,1073.7,2291.5,979.6,2284.6,875.7,2250.1,786.7,2165.6
3.0,0.033,786.1,2164.8,885.2,2096.3,990.2,2059.2,1077.3,2081.3,1170.8,2059.6,1275.4,2100.0,1361.0,2161.5,1315.4,2169.0,1174.5,2151.6,1078.0,2162.2,989.9,2155.2,831.5,2169.0,831.5,2169.0,985.8,2158.2,1074.0,2165.8,1169.7,2155.0,1315.4,2169.0,1361.0,2161.5,1273.9,2243.4,1176.3,2279.1,1075.7,2291.6,982.3,2285.1,876.8,2250.9,786.1,2164.8
4.0,0.05,785.9,2163.3,884.4,2094.2,989.2,2058.0,1076.7,2080.1,1170.4,2058.4,1274.9,2098.4,1360.4,2160.6,1314.9,2167.7,1174.2,2149.2,1077.4,2160.2,988.9,2153.0,831.2,2166.9,831.2,2166.9,985.1,2157.3,1073.6,2164.8,1169.5,2153.8,1314.9,2167.7,1360.4,2160.6,1273.6,2241.3,1175.9,2276.6,1075.0,2289.0,981.4,2282.5,876.1,2248.6,785.9,2163.3
5.0,0.067,786.3,2162.1,885.6,2092.5,991.0,2055.6,1078.3,2077.7,1172.0,2055.6,1277.0,2095.5,1363.2,2157.7,1317.5,2165.1,1175.9,2147.4,1079.2,2158.4,990.9,2151.6,831.9,2165.9,831.9,2165.9,987.1,2154.4,1075.4,2161.8,1171.2,2150.8,1317.5,2165.1,1363.2,2157.7,1275.9,2238.6,1177.8,2274.6,1077.0,2287.3,983.6,2281.0,877.7,2247.1,786.3,2162.1
6.0,0.083,786.8,2160.5,885.4,2090.3,990.2,2053.8,1077.6,2075.8,1171.5,2053.6,1276.2,2093.5,1361.7,2156.3,1316.1,2163.4,1175.4,2145.2,1078.5,2156.3,990.0,2149.5,832.4,2164.1,832.4,2164.1,986.2,2152.9,1074.7,2160.4,1170.8,2149.3,1316.1,2163.4,1361.7,2156.3,1275.3,2236.9,1177.5,2272.3,1076.5,2284.8,982.7,2278.4,877.3,2244.7,786.8,2160.5
7.0,0.1,785.5,2159.9,883.7,2089.8,988.0,2052.9,1075.6,2074.7,1169.6,2052.6,1274.1,2092.7,1359.6,2155.5,1314.1,2162.5,1173.4,2143.9,1076.3,2155.0,987.9,2148.2,831.1,2163.2,831.1,2163.2,983.9,2153.1,1072.5,2160.6,1168.7,2149.7,1314.1,2162.5,1359.6,2155.5,1273.2,2236.4,1175.4,2271.9,1074.3,2284.4,980.5,2278.0,875.6,2244.1,785.5,2159.9
8.0,0.117,782.2,2160.4,880.4,2089.8,984.5,2053.2,1072.2,2075.0,1166.3,2052.8,1270.7,2092.6,1356.4,2155.5,1310.7,2162.6,1170.3,2143.8,1073.2,2155.1,984.5,2148.3,827.8,2163.8,827.8,2163.8,980.3,2152.5,1069.1,2159.8,1165.3,2148.8,1310.7,2162.6,1356.4,2155.5,1269.9,2235.9,1172.3,2271.1,1071.1,2283.5,977.3,2277.2,872.4,2244.1,782.2,2160.4
9.0,0.133,778.8,2161.4,877.1,2090.6,980.9,2053.5,1068.7,2075.3,1162.8,2053.1,1267.2,2093.1,1352.6,2156.3,1306.8,2163.3,1166.8,2144.4,1069.7,2155.6,981.0,2149.0,824.4,2165.0,824.4,2165.0,976.9,2152.7,1065.8,2160.1,1162.0,2149.1,1306.8,2163.3,1352.6,2156.3,1266.6,2236.6,1169.3,2271.5,1068.0,2284.0,974.2,2277.8,869.3,2245.0,778.8,2161.4
10.0,0.15,776.1,2162.3,874.1,2091.5,978.1,2054.7,1065.8,2076.6,1159.9,2054.3,1264.4,2094.3,1350.0,2157.4,1304.3,2164.2,1163.9,2145.6,1066.9,2156.8,978.3,2150.1,821.6,2165.6,821.6,2165.6,974.6,2154.5,1063.3,2161.9,1159.5,2150.9,1304.3,2164.2,1350.0,2157.4,1264.1,2238.0,1166.6,2273.3,1065.5,2285.8,971.6,2279.5,866.5,2246.3,776.1,2162.3
